Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-Sep-23,EQ,"3,380.05","3,447.90","3,371.55","3,381.40","3,422.00","3,427.20","3,425.80","3,889.65","2,836.00","11,69,429","4,00,62,32,453.50","56,923"
18-Sep-23,EQ,"3,432.05","3,452.85","3,412.00","3,427.20","3,421.90","3,431.75","3,432.53","3,889.65","2,836.00","5,96,376","2,04,70,76,871.55","32,170"
20-Sep-23,EQ,"3,427.00","3,450.00","3,376.80","3,431.75","3,438.00","3,441.20","3,427.51","3,889.65","2,836.00","5,47,812","1,87,76,33,518.70","38,115"
21-Sep-23,EQ,"3,429.80","3,440.05","3,404.00","3,441.20","3,430.00","3,435.85","3,426.24","3,889.65","2,836.00","4,77,582","1,63,63,12,741.30","44,215"
22-Sep-23,EQ,"3,425.00","3,431.80","3,392.00","3,435.85","3,417.90","3,409.45","3,409.16","3,889.65","2,836.00","3,93,516","1,34,15,57,221.80","29,114"
25-Sep-23,EQ,"3,417.85","3,429.90","3,381.05","3,409.45","3,382.00","3,386.65","3,397.26","3,889.65","2,836.00","3,09,695","1,05,21,13,036.85","27,382"
26-Sep-23,EQ,"3,405.05","3,539.20","3,405.00","3,386.65","3,475.10","3,472.15","3,497.03","3,889.65","2,836.00","21,78,639","7,61,87,68,006.55","1,34,612"
27-Sep-23,EQ,"3,490.00","3,496.90","3,426.80","3,472.15","3,481.00","3,479.70","3,466.17","3,889.65","2,836.00","5,52,573","1,91,53,09,247.80","44,437"
28-Sep-23,EQ,"3,480.00","3,500.00","3,425.00","3,479.70","3,447.40","3,440.25","3,463.92","3,889.65","2,836.00","6,08,162","2,10,66,27,192.50","53,978"
29-Sep-23,EQ,"3,444.95","3,480.50","3,426.30","3,440.25","3,472.25","3,446.95","3,451.63","3,889.65","2,836.00","5,15,006","1,77,76,08,049.90","46,340"
3-Oct-23,EQ,"3,426.90","3,434.95","3,302.90","3,446.95","3,354.50","3,351.40","3,336.00","3,889.65","2,836.00","13,54,075","4,51,71,98,629.00","72,724"
4-Oct-23,EQ,"3,350.00","3,408.95","3,323.75","3,351.40","3,406.00","3,400.90","3,382.97","3,889.65","2,836.00","5,66,983","1,91,80,84,093.85","47,388"
5-Oct-23,EQ,"3,405.50","3,453.90","3,387.05","3,400.90","3,442.00","3,443.60","3,434.52","3,889.65","2,836.00","3,94,665","1,35,54,85,005.80","48,957"
6-Oct-23,EQ,"3,443.60","3,464.45","3,438.35","3,443.60","3,450.00","3,450.40","3,450.46","3,889.65","2,836.00","2,49,258","86,00,54,305.30","24,762"
9-Oct-23,EQ,"3,420.20","3,476.00","3,401.00","3,450.40","3,442.00","3,445.60","3,455.03","3,889.65","2,836.00","4,71,285","1,62,83,05,858.80","41,599"
10-Oct-23,EQ,"3,450.45","3,474.00","3,449.05","3,445.60","3,459.90","3,458.75","3,460.81","3,889.65","2,836.00","2,06,646","71,51,62,830.35","23,609"
11-Oct-23,EQ,"3,482.00","3,494.10","3,461.40","3,458.75","3,490.00","3,486.60","3,478.10","3,889.65","2,836.00","3,43,468","1,19,46,17,767.10","26,157"
